productname,productvendor,productversion
Microsoft Sql Server 2008 Browser,Microsoft,10.x
Microsoft Sql Server 2008 Common Files,Microsoft,10.x
Microsoft Sql Server 2008 Database Engine Services,Microsoft,10.x
Microsoft Sql Server 2008 Database Engine Services Express Edition Express Edition,Microsoft,10.x
Microsoft Sql Server 2008 Database Engine Shared,Microsoft,10.x
Microsoft Sql Server 2008 Native Client,Microsoft,10.x
Microsoft Sql Server Vss Writer,Microsoft,10.x
Sql Server 2000 Std,Microsoft,20.x
Sql Server Client Tools,Microsoft,20.x
Browser For Sql Server,Microsoft,20.x
Microsoft Sql Server System Clr Types,Microsoft,11.x
Microsoft Sql Server System Clr Types,Microsoft,12.x
Microsoft Vss Writer For Sql Server,Microsoft,20.x
Sql Server 2014 Express,Microsoft,20.x
Sql Server Common Files,Microsoft,20.x
Sql Server Management Objects,Microsoft,11.x
Sql Server Management Objects,Microsoft,2014.x
Sql Server Native Client,Microsoft,4.x
Microsoft Sql Server 2008 Setup Support Files,Microsoft,10.x
Microsoft Sql Server 2012 Management Objects,Microsoft,11.x
Microsoft Sql Server 2012 Native Client,Microsoft,11.x
Microsoft Sql Server 2012 Transact-Sql Scriptdom,Microsoft,11.x
Microsoft Sql Server 2014 (64-Bit),Microsoft,(64.x
Microsoft Sql Server 2014 Management Objects,Microsoft,12.x
Microsoft Sql Server 2014 Setup (English),Microsoft,12.x
Microsoft Sql Server 2014 Transact-Sql Scriptdom,Microsoft,12.x
Microsoft System Clr Types For Sql Server,Microsoft,11.x
Microsoft System Clr Types For Sql Server,Microsoft,12.x
Microsoft Vss Writer For Sql Server,Microsoft,12.x
Sql Server 2014 Common Files,Microsoft,12.x
Sql Server 2014 Database Engine Services,Microsoft,12.x
Sql Server 2014 Database Engine Services Express Edition Express Edition,Microsoft,12.x
Sql Server 2014 Database Engine Shared,Microsoft,12.x
Sql Server Browser For Sql Server,Microsoft,12.x
